Anio,Mes,CodigoPais,PaisOrigen,LongitudPais,LatitudPais,CodigoDepto,DepartamentoDestino,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2016,Octubre,493,México,-102,23,76,VALLE DEL CAUCA,-765215601611,34144187719,0407211000 - HUEVOS FRESCOS DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS PARA LA PRODUCCION DE VACUNAS (LIBRES DE PATÓGENOS ESPECÍFICOS).,Avícola,Huevos,U,16000,21.55,71533.42,0.99
2016,Noviembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207450000 - Las demás carnes y despojos comestibles de patos, congelados.",Avícola,Carne y despojos comestibles de ganso o pato,KG,5839.53,22.63,110209.45,5.84
2016,Noviembre,105,Brasil,-55,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,13763,395.74,1273976.22,0.71
2016,Noviembre,105,Brasil,-55,-10,73,TOLIMA,-751953679078,443280938914,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,16515,474.42,1421689.46,0.85
2016,Noviembre,105,Brasil,-55,-10,73,TOLIMA,-751953679078,443280938914,"0407110000 - HUEVOS FECUNDADOS PARA INCUBACION, DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS.",Avícola,Huevos,U,109440,86.85,308193,6.89
2016,Noviembre,105,Brasil,-55,-10,76,VALLE DEL CAUCA,-765215601611,34144187719,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,7524,216.46,674810.69,0.39
2016,Noviembre,589,Perú,-75.25,-10,25,CUNDINAMARCA,-746692192503,437531467846,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,44750.53,230.65,696303.36,44.75
2016,Noviembre,211,Chile,-71,-30,76,VALLE DEL CAUCA,-765215601611,34144187719,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,23999.22,33.33,109117.08,24
2016,Noviembre,589,Perú,-75.25,-10,5,ANTIOQUIA,-755760017134,624858636743,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,32402.06,87.49,289183.95,32.4
2016,Noviembre,589,Perú,-75.25,-10,5,ANTIOQUIA,-755760017134,624858636743,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,9984.18,48.42,157574.57,9.98
2016,Noviembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,65743.67,167.65,527119.36,65.74
2016,Noviembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,14786.91,68.91,220010.41,14.79
2016,Noviembre,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0408910000 - Los demás huevos de ave sin cáscara, secos.",Avícola,Huevos,KG,8164.66,33.51,111900.53,8.16
2016,Noviembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,0408110000 - Yemas de huevo secas.,Avícola,Huevos,KG,5012.28,21.55,72742.24,5.01
2016,Noviembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,43323.22,112.64,348919.47,43.32
2016,Noviembre,249,Estados Unidos,-98.5,39.76,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,66646.57,185.37,601288.14,66.65
2016,Noviembre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,20143.45,48.34,157073.54,20.14
2016,Noviembre,249,Estados Unidos,-98.5,39.76,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,24493.97,48.6,162511.81,24.49
2016,Noviembre,589,Perú,-75.25,-10,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,89462.45,412.02,1275277.21,89.46
2016,Noviembre,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0207420000 - Carnes de pato sin trocear, congeladas.",Avícola,Carne y despojos comestibles de ganso o pato,KG,140.16,0.6,1953.32,0.14
2016,Noviembre,249,Estados Unidos,-98.5,39.76,8,ATLÁNTICO,-748132169683,109783195607,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,32100.02,103.29,350910.62,32.1
2016,Noviembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,1378.67,4.31,13531.69,1.38
2016,Noviembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,19247.17,128.77,393023.29,19.25
2016,Noviembre,493,México,-102,23,76,VALLE DEL CAUCA,-765215601611,34144187719,0407211000 - HUEVOS FRESCOS DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS PARA LA PRODUCCION DE VACUNAS (LIBRES DE PATÓGENOS ESPECÍFICOS).,Avícola,Huevos,U,32000,43.1,148941.77,1.98
2016,Diciembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207420000 - Carnes de pato sin trocear, congeladas.",Avícola,Carne y despojos comestibles de ganso o pato,KG,20.22,0.11,405.21,0.02
2016,Diciembre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207450000 - Las demás carnes y despojos comestibles de patos, congelados.",Avícola,Carne y despojos comestibles de ganso o pato,KG,142.28,4.48,16956.24,0.14
2016,Diciembre,249,Estados Unidos,-98.5,39.76,68,SANTANDER,-731325976221,711626842734,"0407110000 - HUEVOS FECUNDADOS PARA INCUBACION, DE GALLINA DE LA ESPECIE GALLUS DOMESTICUS.",Avícola,Huevos,U,226800,25.52,134494.15,14.18
2016,Diciembre,105,Brasil,-55,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0105110000 - Gallos y gallinas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",Avícola,Gallos y gallinas,U,23920,179.3,554842.07,0.98
